"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"167"|"o-Toluidine"|"95534"|"Methylbenzenamine, 2-"|"01-JAN-2014 00:00:00"|""|""|""
"168"|"2-Chlorophenol"|"95578"|"Chlorophenol-2"|"01-JAN-2014 00:00:00"|""|""|""
"169"|"1,2,4,5-Tetrachlorobenzene"|"95943"|"TCB"|"01-JAN-2014 00:00:00"|""|""|""
"170"|"1,2,4,5-Tetrachlorobenzene"|"95943"|"Tetrachlorobenzene, 1,2,4,5-"|"01-JAN-2014 00:00:00"|""|""|""
"171"|"1,2,3-Trichloropropane"|"96184"|"Trichloropropane, 1,2,3-"|"01-JAN-2014 00:00:00"|""|""|""
"172"|"Isopropylbenzene"|"98828"|"Cumene"|"01-JAN-2014 00:00:00"|""|""|""
"173"|"Acetophenone"|"98862"|"1-Phenylethanone"|"01-JAN-2014 00:00:00"|""|""|""
"174"|"Nitrobenzene"|"98953"|"nitro-Benzene"|"01-JAN-2014 00:00:00"|""|""|""
"175"|"3-Nitroaniline"|"99092"|"3-Nitrobenzenamine"|"01-JAN-2014 00:00:00"|""|""|""
"176"|"1,3,5-Trinitrobenzene"|"99354"|"Trinitrobenzol"|"01-JAN-2014 00:00:00"|""|""|""
"177"|"5-Nitro-o-toluidine"|"99558"|"2-Methyl-5-nitrobenzenamine"|"01-JAN-2014 00:00:00"|""|""|""
"178"|"1,3-Dinitrobenzene"|"99650"|"Dinitrobenzene, m-"|"01-JAN-2014 00:00:00"|""|""|""
"179"|"4-Nitrophenol"|"100027"|"p-Nitrophenol"|"01-JAN-2014 00:00:00"|""|""|""
"180"|"Styrene"|"100425"|"Ethenylbenzene"|"01-JAN-2014 00:00:00"|""|""|""
"181"|"Benzyl alcohol"|"100516"|"Benzenemethanol"|"01-JAN-2014 00:00:00"|""|""|""
"182"|"N-Nitrosopiperidine"|"100754"|"1-Nitrosopiperidine"|"01-JAN-2014 00:00:00"|""|""|""
"183"|"b-BHC"|"319857"|"BHC-beta"|"01-JAN-2014 00:00:00"|""|""|""
"184"|"d-BHC"|"319868"|"delta-BHC"|"01-JAN-2014 00:00:00"|""|""|""
"185"|"Chlorophyll b"|"519620"|"Chlorophyll-b"|"01-JAN-2014 00:00:00"|""|""|""
"186"|"4,6-Dinitro-2-methylphenol"|"534521"|"Dinitro-o-cresol"|"01-JAN-2014 00:00:00"|""|""|""
"187"|"2,6-Dinitrotoluene"|"606202"|"2-Methyl-1,3-dinitrobenzene"|"01-JAN-2014 00:00:00"|""|""|""
"188"|"Pentachlorobenzene"|"608935"|"QCB"|"01-JAN-2014 00:00:00"|""|""|""
"189"|"1,1,1,2-Tetrachloroethane"|"630206"|"Tetrachloroethane, 1,1,1,2-"|"01-JAN-2014 00:00:00"|""|""|""
"190"|"Endosulfan I"|"959988"|"Endosulfan, alpha-"|"01-JAN-2014 00:00:00"|""|""|""
"191"|"Methyl-t-butyl ether"|"1634044"|"MTBE"|"01-JAN-2014 00:00:00"|""|""|""
"192"|"Alkalinity (CaCO3)"|"1505"|"Alkalinity, Total (CaCO3)"|"01-JAN-2014 00:00:00"|""|""|""
"193"|"BOD"|"1530"|"Biochemical Oxygen Demand"|"01-JAN-2014 00:00:00"|""|""|""
"194"|"BOD"|"1530"|"BOD 5"|"01-JAN-2014 00:00:00"|""|""|""
"195"|"BOD- Carbonaceous"|"1555"|"Biological Oxygen Demand- Carbonaceous"|"01-JAN-2014 00:00:00"|""|""|""
"196"|"BOD- Carbonaceous"|"1555"|"BOD, carbonaceous"|"01-JAN-2014 00:00:00"|""|""|""
"197"|"Residues- Filterable (TDS)"|"1705"|"Total Dissolved Solids"|"01-JAN-2014 00:00:00"|""|""|""
"198"|"Hardness- Calculated (CaCO3)"|"1760"|"Hardness, Ca + Mg"|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"04-APR-2018 00:00:00"
"199"|"Nitrogen- Total Kjeldahl"|"1795"|"Nitrogen, Kjeldahl"|"01-JAN-2014 00:00:00"|""|"SANKURATRI_L"|"01-APR-2020 17:41:02"
