Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,3/8/2016 12:12:00 PM,1,1,,0.023,,0.053,,0.017,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.021,,0.574,,0.57,,0.553,,3.2,,3.8,,0.84,,11,,130,<1> (CHB),278.5,<1> (CHB),18.6,,27.8,,6.01,,,,0.8,,,<-1>
gtmpcnut,3/8/2016 12:14:00 PM,1,2,,0.024,,0.056,,0.026,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.03,,0.504,,0.5,,0.474,,3,,3.6,,0.82,,11,<1> (CSM),150,<1> (CHB),,<-1>,18.6,,27.8,,6.01,,,,0.8,,,<-1>
gtmpcnut,3/7/2016 9:30:00 AM,2,1,,0.024,<1> (CHB),0.059,,0.031,,0.002,<1> [SBL] (CHB),0.002,<1> [SCB] (CHB),0.004,<-4> [SBL],0.035,,0.494,,0.49,,0.459,,2.2,<1> (CHB),3.1,<1> (CHB),1.3,<1> (CHB),15,,,<-2> [GDM],,<-1>,16.83,,26.56,,6.79,,7.76,,,<-1>,,<-1>
gtmpcnut,3/7/2016 12:00:00 PM,2,1,,0.023,<1> (CHB),0.055,,0.021,,0.002,<1> [SBL] (CHB),0.002,<1> [SCB] (CHB),0.004,<-4> [SBL],0.025,,0.494,,0.49,,0.469,,2.3,<1> (CHB),2.9,<1> (CHB),0.81,<1> (CHB),13,,130,<1> (CHB),,<-1>,17.26,,27.88,,6.84,,7.81,,,<-1>,,<-1>
gtmpcnut,3/7/2016 2:30:00 PM,2,1,,0.031,,0.064,,0.01,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.014,,0.554,,0.55,,0.54,,3.2,,4.4,,1.9,,22,,280,<1> (CHB),,<-1>,18.47,,20.52,,6.92,,7.54,,,<-1>,,<-1>
gtmpcnut,3/7/2016 5:00:00 PM,2,1,,0.033,,0.072,,0.014,,0.002,,0.002,<-4> [SCB],0.004,<-4> [SBL],0.018,,0.604,,0.6,,0.586,,5.9,,6.8,,1.3,,6,,380,<1> (CHB),,<-1>,18.79,,16.74,,6.63,,7.41,,,<-1>,,<-1>
gtmpcnut,3/7/2016 7:30:00 PM,2,1,,0.03,,0.07,,0.014,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.018,,0.704,,0.7,,0.686,,4.2,,5.1,,1.2,,12,,280,<1> (CHB),,<-1>,19.18,,18.62,,7.37,,7.5,,,<-1>,,<-1>
gtmpcnut,3/7/2016 10:00:00 PM,2,1,,0.026,,0.068,,0.009,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.013,,0.584,,0.58,,0.571,,2.9,,3.8,,1.4,,20,,200,<1> (CHB),,<-1>,19.23,,25.22,,7.05,,7.67,,,<-1>,,<-1>
gtmpcnut,3/8/2016 12:30:00 AM,2,1,,0.029,,0.085,,0.011,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.015,,0.584,,0.58,,0.569,,2.9,,3.7,,1.2,,6,,340,<1> (CHB),,<-1>,19.19,,24.33,,7.06,,7.63,,,<-1>,,<-1>
gtmpcnut,3/8/2016 3:00:00 AM,2,1,,0.033,,0.065,,0.02,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.024,,0.564,,0.56,,0.54,,3,,3.5,,0.77,,8,,330,<1> (CHB),,<-1>,18.47,,17.18,,6.66,,7.4,,,<-1>,,<-1>
gtmpcnut,3/8/2016 5:30:00 AM,2,1,,0.036,,0.065,,0.022,,0.003,,0.001,<-4> [SCB],0.004,<-4> [SBL],0.026,,0.634,,0.63,,0.608,,2.2,,2.8,,0.84,,7,,350,<1> (CHB),,<-1>,18.36,,15.98,,6.18,,7.32,,,<-1>,,<-1>
